[2026-03-14 13:04:00] [API-ISTEK] Saat=2026-03-14T10:03:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:04:01] [API-ISTEK] Saat=2026-03-14T10:03:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:19:00] [API-ISTEK] Saat=2026-03-14T10:18:00 | Kamera=cam2 | Giren=1 | Cikan=1 | Status=OK
[2026-03-14 13:19:00] [API-ISTEK] Saat=2026-03-14T10:18:00 | Kamera=cam1 | Giren=1 | Cikan=1 | Status=OK
[2026-03-14 13:20:00] [API-ISTEK] Saat=2026-03-14T10:19:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:20:00] [API-ISTEK] Saat=2026-03-14T10:19:00 | Kamera=cam2 | Giren=1 | Cikan=1 | Status=OK
[2026-03-14 13:22:00] [API-ISTEK] Saat=2026-03-14T10:21:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:22:00] [API-ISTEK] Saat=2026-03-14T10:21:00 | Kamera=cam2 | Giren=1 | Cikan=1 | Status=OK
[2026-03-14 13:28:00] [API-ISTEK] Saat=2026-03-14T10:27:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:28:00] [API-ISTEK] Saat=2026-03-14T10:27:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:30:00] [API-ISTEK] Saat=2026-03-14T10:29:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:30:00] [API-ISTEK] Saat=2026-03-14T10:29:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:31:00] [API-ISTEK] Saat=2026-03-14T10:30:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:31:00] [API-ISTEK] Saat=2026-03-14T10:30:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:32:00] [API-ISTEK] Saat=2026-03-14T10:31:00 | Kamera=cam1 | Giren=1 | Cikan=1 | Status=OK
[2026-03-14 13:32:00] [API-ISTEK] Saat=2026-03-14T10:31:00 | Kamera=cam2 | Giren=1 | Cikan=1 | Status=OK
[2026-03-14 13:33:00] [API-ISTEK] Saat=2026-03-14T10:32:00 | Kamera=cam2 | Giren=1 | Cikan=1 | Status=OK
[2026-03-14 13:33:00] [API-ISTEK] Saat=2026-03-14T10:32:00 | Kamera=cam1 | Giren=1 | Cikan=1 | Status=OK
[2026-03-14 13:34:00] [API-ISTEK] Saat=2026-03-14T10:33:00 | Kamera=cam2 | Giren=1 | Cikan=1 | Status=OK
[2026-03-14 13:34:00] [API-ISTEK] Saat=2026-03-14T10:33:00 | Kamera=cam1 | Giren=1 | Cikan=1 | Status=OK
[2026-03-14 13:35:00] [API-ISTEK] Saat=2026-03-14T10:34:00 | Kamera=cam2 | Giren=1 | Cikan=1 | Status=OK
[2026-03-14 13:35:00] [API-ISTEK] Saat=2026-03-14T10:34:00 | Kamera=cam1 | Giren=1 | Cikan=1 | Status=OK
[2026-03-14 13:36:00] [API-ISTEK] Saat=2026-03-14T10:35:00 | Kamera=cam1 | Giren=1 | Cikan=0 | Status=OK
[2026-03-14 13:36:00] [API-ISTEK] Saat=2026-03-14T10:35:00 | Kamera=cam2 | Giren=1 | Cikan=0 | Status=OK
[2026-03-14 13:37:00] [API-ISTEK] Saat=2026-03-14T10:36:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:37:00] [API-ISTEK] Saat=2026-03-14T10:36:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:38:00] [API-ISTEK] Saat=2026-03-14T10:37:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:38:00] [API-ISTEK] Saat=2026-03-14T10:37:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:39:00] [API-ISTEK] Saat=2026-03-14T10:38:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:39:00] [API-ISTEK] Saat=2026-03-14T10:38:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:40:00] [API-ISTEK] Saat=2026-03-14T10:39:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:40:00] [API-ISTEK] Saat=2026-03-14T10:39:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:41:00] [API-ISTEK] Saat=2026-03-14T10:40:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:41:00] [API-ISTEK] Saat=2026-03-14T10:40:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:42:00] [API-ISTEK] Saat=2026-03-14T10:41:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:42:00] [API-ISTEK] Saat=2026-03-14T10:41:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:43:00] [API-ISTEK] Saat=2026-03-14T10:42:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:43:00] [API-ISTEK] Saat=2026-03-14T10:42:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:44:00] [API-ISTEK] Saat=2026-03-14T10:43:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:44:00] [API-ISTEK] Saat=2026-03-14T10:43:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:45:00] [API-ISTEK] Saat=2026-03-14T10:44:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:45:00] [API-ISTEK] Saat=2026-03-14T10:44:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:46:00] [API-ISTEK] Saat=2026-03-14T10:45:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:46:00] [API-ISTEK] Saat=2026-03-14T10:45:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:47:00] [API-ISTEK] Saat=2026-03-14T10:46:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:47:00] [API-ISTEK] Saat=2026-03-14T10:46:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:48:00] [API-ISTEK] Saat=2026-03-14T10:47:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:48:00] [API-ISTEK] Saat=2026-03-14T10:47:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:49:00] [API-ISTEK] Saat=2026-03-14T10:48:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:49:00] [API-ISTEK] Saat=2026-03-14T10:48:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:50:00] [API-ISTEK] Saat=2026-03-14T10:49:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:50:00] [API-ISTEK] Saat=2026-03-14T10:49:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:51:00] [API-ISTEK] Saat=2026-03-14T10:50:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:51:00] [API-ISTEK] Saat=2026-03-14T10:50:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:52:00] [API-ISTEK] Saat=2026-03-14T10:51:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:52:00] [API-ISTEK] Saat=2026-03-14T10:51:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:53:00] [API-ISTEK] Saat=2026-03-14T10:52:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:53:00] [API-ISTEK] Saat=2026-03-14T10:52:00 | Kamera=cam2 | Giren=0 | Cikan=0 | Status=OK
[2026-03-14 13:54:00] [API-ISTEK] Saat=2026-03-14T10:53:00 | Kamera=cam1 | Giren=0 | Cikan=0 | Status=OK
