============================================================
  Density — SİSTEM LOGLARI
  Kamera  : cam8
  Tarih   : 2026-06-16
  Açıldı  : 2026-06-16 00:00:02
============================================================

[2026-06-16 00:00:02] [SYS] YENİ GÜN: 2026-06-15 -> 2026-06-16
[2026-06-16 00:00:02] [SYS] YENİ GÜN RESET: Tüm zone sayaçları sıfırlandı
[2026-06-16 00:00:02] [SYS] Eski state dosyası silindi: /home/cx1/x/density/data/state/density_state_cam8.json
[2026-06-16 10:00:02] [WRN] [RABBITMQ] publish hatası: Transport indicated EOF
[2026-06-16 10:00:02] [WRN] [RABBITMQ] consume_json hatası: Transport indicated EOF
[2026-06-16 10:00:02] [DBG] [PERF] FPS=0.0 YOLO=11ms Buf=0/30 Drop=0
[2026-06-16 10:00:02] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:00:03] [SYS] [RABBITMQ] Yeniden bağlanma deneniyor...
[2026-06-16 10:00:03] [SYS] [RABBITMQ] Bağlantı başarılı: localhost:5672 kuyruk=frames_density_-1_erkek_reyon (OS=Linux)
[2026-06-16 10:00:03] [SYS] [RABBITMQ] Yeniden bağlanma deneniyor...
[2026-06-16 10:00:03] [SYS] [RABBITMQ] Bağlantı başarılı: localhost:5672 kuyruk=results_density_-1_erkek_reyon (OS=Linux)
[2026-06-16 10:00:32] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:01:02] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:01:32] [DBG] [PERF] FPS=1.0 YOLO=19ms Buf=0/30 Drop=0
[2026-06-16 10:02:02] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:02:33] [DBG] [PERF] FPS=1.0 YOLO=19ms Buf=0/30 Drop=0
[2026-06-16 10:03:04] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:03:35] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:04:05] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:04:35] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:05:02] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:05:05] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:05:35] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:06:06] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:06:37] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:07:07] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:07:37] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:08:08] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:08:38] [DBG] [PERF] FPS=1.0 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 10:09:08] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:09:38] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:10:03] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:10:08] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:10:39] [DBG] [PERF] FPS=1.0 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 10:11:09] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:11:39] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:12:09] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:12:39] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:13:09] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:13:40] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:14:10] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:14:40] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:15:03] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:15:10] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:15:40] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:16:11] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:16:42] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:17:12] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:17:42] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
