============================================================
  Density — SİSTEM LOGLARI
  Kamera  : cam3
  Tarih   : 2026-06-16
  Açıldı  : 2026-06-16 00:00:02
============================================================

[2026-06-16 00:00:02] [SYS] YENİ GÜN: 2026-06-15 -> 2026-06-16
[2026-06-16 00:00:02] [SYS] YENİ GÜN RESET: Tüm zone sayaçları sıfırlandı
[2026-06-16 00:00:02] [SYS] Eski state dosyası silindi: /home/cx1/x/density/data/state/density_state_cam3.json
[2026-06-16 10:00:02] [WRN] [RABBITMQ] publish hatası: Transport indicated EOF
[2026-06-16 10:00:02] [WRN] [RABBITMQ] consume_json hatası: Transport indicated EOF
[2026-06-16 10:00:02] [DBG] [PERF] FPS=0.0 YOLO=11ms Buf=0/30 Drop=0
[2026-06-16 10:00:02] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:00:02] [SYS] [RABBITMQ] Yeniden bağlanma deneniyor...
[2026-06-16 10:00:02] [SYS] [RABBITMQ] Bağlantı başarılı: localhost:5672 kuyruk=frames_density_elit_diamond (OS=Linux)
[2026-06-16 10:00:02] [SYS] [RABBITMQ] Yeniden bağlanma deneniyor...
[2026-06-16 10:00:02] [SYS] [RABBITMQ] Bağlantı başarılı: localhost:5672 kuyruk=results_density_elit_diamond (OS=Linux)
[2026-06-16 10:00:33] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:01:04] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:01:34] [DBG] [PERF] FPS=0.5 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 10:02:05] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:02:35] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:03:06] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:03:37] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:04:07] [DBG] [PERF] FPS=0.5 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:04:38] [DBG] [PERF] FPS=0.5 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 10:05:03] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:05:08] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:05:39] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:06:10] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:06:40] [DBG] [PERF] FPS=0.5 YOLO=19ms Buf=0/30 Drop=0
[2026-06-16 10:07:11] [DBG] [PERF] FPS=0.5 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 10:07:41] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:08:12] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:08:42] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:09:13] [DBG] [PERF] FPS=0.5 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:09:44] [DBG] [PERF] FPS=0.5 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 10:10:04] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:10:14] [DBG] [PERF] FPS=0.5 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 10:10:45] [DBG] [PERF] FPS=0.5 YOLO=10ms Buf=0/30 Drop=0
[2026-06-16 10:11:15] [DBG] [PERF] FPS=0.5 YOLO=22ms Buf=0/30 Drop=0
[2026-06-16 10:11:46] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:12:16] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:12:47] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:13:18] [DBG] [PERF] FPS=0.5 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:13:48] [DBG] [PERF] FPS=0.5 YOLO=21ms Buf=0/30 Drop=0
[2026-06-16 10:14:19] [DBG] [PERF] FPS=0.5 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:14:49] [DBG] [PERF] FPS=0.5 YOLO=19ms Buf=0/30 Drop=0
[2026-06-16 10:15:06] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:15:20] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:15:50] [DBG] [PERF] FPS=0.5 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:16:21] [DBG] [PERF] FPS=0.5 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:16:52] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:17:22] [DBG] [PERF] FPS=0.5 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:17:53] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:18:23] [DBG] [PERF] FPS=0.5 YOLO=20ms Buf=0/30 Drop=0
[2026-06-16 10:18:54] [DBG] [PERF] FPS=0.5 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:19:25] [DBG] [PERF] FPS=0.5 YOLO=11ms Buf=0/30 Drop=0
[2026-06-16 10:19:55] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:20:08] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:20:26] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:20:56] [DBG] [PERF] FPS=0.5 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:21:27] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:21:57] [DBG] [PERF] FPS=0.5 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:22:28] [DBG] [PERF] FPS=0.5 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:22:59] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:23:29] [DBG] [PERF] FPS=0.5 YOLO=20ms Buf=0/30 Drop=0
[2026-06-16 10:24:00] [DBG] [PERF] FPS=0.5 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:24:30] [DBG] [PERF] FPS=0.5 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:25:01] [DBG] [PERF] FPS=0.5 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:25:09] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:25:31] [DBG] [PERF] FPS=0.5 YOLO=14ms Buf=0/30 Drop=0
