============================================================
  Density — SİSTEM LOGLARI
  Kamera  : cam5
  Tarih   : 2026-06-16
  Açıldı  : 2026-06-16 00:00:01
============================================================

[2026-06-16 00:00:01] [SYS] YENİ GÜN: 2026-06-15 -> 2026-06-16
[2026-06-16 00:00:01] [SYS] YENİ GÜN RESET: Tüm zone sayaçları sıfırlandı
[2026-06-16 00:00:01] [SYS] Eski state dosyası silindi: /home/cx1/x/density/data/state/density_state_cam5.json
[2026-06-16 10:00:00] [WRN] [RABBITMQ] publish hatası: Transport indicated EOF
[2026-06-16 10:00:00] [WRN] [RABBITMQ] consume_json hatası: Transport indicated EOF
[2026-06-16 10:00:00] [DBG] [PERF] FPS=0.0 YOLO=11ms Buf=0/30 Drop=0
[2026-06-16 10:00:01] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:00:01] [SYS] [RABBITMQ] Yeniden bağlanma deneniyor...
[2026-06-16 10:00:01] [SYS] [RABBITMQ] Bağlantı başarılı: localhost:5672 kuyruk=frames_density_zemin_kat (OS=Linux)
[2026-06-16 10:00:01] [SYS] [RABBITMQ] Yeniden bağlanma deneniyor...
[2026-06-16 10:00:01] [SYS] [RABBITMQ] Bağlantı başarılı: localhost:5672 kuyruk=results_density_zemin_kat (OS=Linux)
[2026-06-16 10:00:31] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:01:01] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:01:32] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:02:02] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:02:32] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:03:03] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:03:34] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:04:04] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:04:34] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:05:01] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:05:04] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:05:34] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:06:04] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:06:35] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:07:05] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:07:36] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:08:06] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:08:36] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:09:06] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:09:37] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:10:02] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:10:07] [DBG] [PERF] FPS=1.0 YOLO=22ms Buf=0/30 Drop=0
[2026-06-16 10:10:37] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:11:07] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:11:37] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:12:08] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:12:38] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:13:08] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:13:38] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:14:09] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:14:39] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:15:02] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:15:09] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:15:39] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:16:09] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:16:40] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:17:10] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:17:40] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:18:10] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:18:40] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:19:10] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:19:40] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:20:03] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:20:11] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:20:41] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:21:11] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:21:41] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:22:11] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:22:42] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:23:12] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:23:42] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:24:12] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:24:43] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:25:03] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:25:13] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:25:43] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:26:14] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:26:45] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:27:15] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:27:46] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:28:16] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:28:46] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:29:17] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:29:47] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:30:03] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:30:17] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:30:47] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:31:18] [DBG] [PERF] FPS=0.9 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:31:48] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:32:19] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:32:50] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:33:20] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:33:50] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:34:20] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:34:50] [DBG] [PERF] FPS=1.0 YOLO=19ms Buf=0/30 Drop=0
[2026-06-16 10:35:03] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:35:20] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:35:50] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:36:21] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:36:52] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:37:23] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:37:53] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:38:23] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:38:53] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:39:23] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:39:54] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:40:04] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:40:25] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:40:55] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:41:26] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:41:56] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:42:27] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:42:58] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:43:29] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:43:59] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:44:29] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:44:59] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:45:05] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:45:30] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:46:00] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:46:30] [DBG] [PERF] FPS=1.0 YOLO=19ms Buf=0/30 Drop=0
[2026-06-16 10:47:00] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:47:30] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 10:48:01] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:48:31] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:49:01] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:49:31] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:50:01] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:50:06] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:50:31] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:51:01] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 10:51:32] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:52:02] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:52:32] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:53:02] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:53:33] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:54:03] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:54:33] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:55:03] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:55:06] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 10:55:33] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:56:03] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:56:33] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 10:57:04] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:57:34] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 10:58:04] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 10:58:34] [DBG] [PERF] FPS=1.0 YOLO=21ms Buf=0/30 Drop=0
[2026-06-16 10:59:04] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 10:59:35] [DBG] [PERF] FPS=1.0 YOLO=12ms Buf=0/30 Drop=0
[2026-06-16 11:00:00] [DBG] Sonraki rapor: 12:00
[2026-06-16 11:00:05] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 11:00:07] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 11:00:35] [DBG] [PERF] FPS=1.0 YOLO=15ms Buf=0/30 Drop=0
[2026-06-16 11:01:05] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:01:35] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 11:02:05] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:02:36] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 11:03:06] [DBG] [PERF] FPS=1.0 YOLO=13ms Buf=0/30 Drop=0
[2026-06-16 11:03:36] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
[2026-06-16 11:04:07] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:04:37] [DBG] [PERF] FPS=1.0 YOLO=20ms Buf=0/30 Drop=0
[2026-06-16 11:05:07] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 11:05:07] [DBG] [GC] Periyodik bellek temizligi yapildi
[2026-06-16 11:05:37] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:06:07] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 11:06:37] [DBG] [PERF] FPS=1.0 YOLO=16ms Buf=0/30 Drop=0
[2026-06-16 11:07:07] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 11:07:38] [DBG] [PERF] FPS=1.0 YOLO=19ms Buf=0/30 Drop=0
[2026-06-16 11:08:08] [DBG] [PERF] FPS=1.0 YOLO=18ms Buf=0/30 Drop=0
[2026-06-16 11:08:38] [DBG] [PERF] FPS=1.0 YOLO=17ms Buf=0/30 Drop=0
[2026-06-16 11:09:08] [DBG] [PERF] FPS=1.0 YOLO=14ms Buf=0/30 Drop=0
